marker_id	ko_id	description
BA00001	K02967	small subunit ribosomal protein S2
BA00003	K02863	large subunit ribosomal protein L1
BA00005	K02519	translation initiation factor IF-2
BA00007	K02890	large subunit ribosomal protein L22
BA00009	K02926	large subunit ribosomal protein L4
BA00010	K02886	large subunit ribosomal protein L2
BA00011	K02996	small subunit ribosomal protein S9
BA00012	K02906	large subunit ribosomal protein L3
BA00013	K01890	phenylalanyl-tRNA synthetase beta chain
BA00014	K02874	large subunit ribosomal protein L14
BA00015	K02988	small subunit ribosomal protein S5
BA00016	K02965	small subunit ribosomal protein S19
BA00017	K02992	small subunit ribosomal protein S7
BA00018	K02878	large subunit ribosomal protein L16
BA00019	K02952	small subunit ribosomal protein S13
BA00020	K01889	phenylalanyl-tRNA synthetase alpha chain
BA00021	K02876	large subunit ribosomal protein L15
BA00023	K02933	large subunit ribosomal protein L6
BA00024	K02867	large subunit ribosomal protein L11
BA00025	K02931	large subunit ribosomal protein L5
BA00026	K02950	small subunit ribosomal protein S12
BA00028	K02982	small subunit ribosomal protein S3
BA00029	K02948	small subunit ribosomal protein S11
BA00030	K02864	large subunit ribosomal protein L10
BA00031	K02994	small subunit ribosomal protein S8
BA00033	K02881	large subunit ribosomal protein L18
BA00034	K02956	small subunit ribosomal protein S15
BA00036	K02961	small subunit ribosomal protein S17
BA00037	K02871	large subunit ribosomal protein L13
BA00040	K02895	large subunit ribosomal protein L24
